name,space,r,g,b,hex
Chromatic-Dorval-CH2-0927-BEIGE-CRIMEE,RGB,151,124,115,#977C73
Chromatic-Dorval-CH2-0928-BRUN-MANITOBA,RGB,151,122,121,#977A79
Chromatic-Dorval-CH2-0929-BRUN-FUJI,RGB,137,106,102,#896A66
Chromatic-Dorval-CH2-0930-MARRON-ALPES,RGB,124,90,82,#7C5A52
Chromatic-Dorval-CH2-0931-MARRON-ARAGON,RGB,117,97,88,#756158
Chromatic-Dorval-CH2-0932-MARRON-PROVENCE,RGB,98,79,69,#624F45
Chromatic-Dorval-CH2-0933-MARRON-SARTHE,RGB,86,68,61,#56443D
Chromatic-Dorval-CH2-0934-MARRON-INDRE,RGB,77,65,62,#4D413E
Chromatic-Dorval-CH2-0935-MARRON-OSLO,RGB,72,67,66,#484342
Chromatic-Dorval-CH2-0936-MARRON-TARN,RGB,139,121,115,#8B7973
Chromatic-Dorval-CH2-0937-MARRON-AVEYRON,RGB,123,103,97,#7B6761
Chromatic-Dorval-CH2-0938-BRUN-BARONNIES,RGB,105,86,82,#695652
Chromatic-Dorval-CH2-0939-BRUN-MARY,RGB,94,89,79,#5E594F
Chromatic-Dorval-CH2-0940-MARRON-CHATAIGNE,RGB,90,68,62,#5A443E
Chromatic-Dorval-CH2-0941-MARRON-THESSALIE,RGB,147,122,108,#937A6C
Chromatic-Dorval-CH2-0942-MARRON-SAXE,RGB,143,112,95,#8F705F
Chromatic-Dorval-CH2-0943-MARRON-DOLOMITE,RGB,129,101,85,#816555
Chromatic-Dorval-CH2-0944-MARRON-PERCHE,RGB,124,93,74,#7C5D4A
Chromatic-Dorval-CH2-0945-MARRON-GOA,RGB,101,80,62,#65503E
Chromatic-Dorval-CH2-0946-BEIGE-OPALE,RGB,215,203,195,#D7CBC3
Chromatic-Dorval-CH2-0947-ROSE-NIVEOLE,RGB,209,191,183,#D1BFB7
Chromatic-Dorval-CH2-0948-BRUN-VENETIE,RGB,185,163,149,#B9A395
Chromatic-Dorval-CH2-0949-BRUN-SICILE,RGB,175,155,145,#AF9B91
Chromatic-Dorval-CH2-0950-ROSE-PLANTAGO,RGB,189,157,147,#BD9D93
Chromatic-Dorval-CH2-0951-ROSE-ZOUK,RGB,229,221,221,#E5DDDD
Chromatic-Dorval-CH2-0952-ROSE-PILOSELLE,RGB,189,177,175,#BDB1AF
Chromatic-Dorval-CH2-0953-GRIS-BANGKOK,RGB,185,177,179,#B9B1B3
Chromatic-Dorval-CH2-0954-BRUN-POUILLES,RGB,167,155,151,#A79B97
Chromatic-Dorval-CH2-0955-BRUN-TAUPE,RGB,165,149,143,#A5958F
Chromatic-Dorval-CH2-0956-BEIGE-LUNTU,RGB,215,209,207,#D7D1CF
Chromatic-Dorval-CH2-0957-ROSE-PEPINO,RGB,203,189,183,#CBBDB7
Chromatic-Dorval-CH2-0958-ROSE-GAGEE,RGB,207,191,189,#CFBFBD
Chromatic-Dorval-CH2-0959-ROSE-JACEE,RGB,195,175,175,#C3AFAF
Chromatic-Dorval-CH2-0960-ROSE-LUNAIRE,RGB,185,169,169,#B9A9A9
Chromatic-Dorval-CH2-0961-BRUN-VALAIS,RGB,197,167,143,#C5A78F
Chromatic-Dorval-CH2-0962-BRUN-CERVIN,RGB,185,149,127,#B9957F
Chromatic-Dorval-CH2-0963-OCRE-SIMPSON,RGB,167,131,107,#A7836B
Chromatic-Dorval-CH2-0964-BRUN-TYROL,RGB,145,118,98,#917662
